n,mse,rmse,mae,median_abs_error,bias,p90_abs_error,p95_abs_error,p99_abs_error,max_abs_error,seed
2621,0.00017639468846658975,0.013281366212351414,0.004057465162665623,0.0008790738483206995,0.0006218530276062732,0.009235243726771758,0.017241255378827314,0.06089121738785067,0.19686898479834364,7
2621,0.0006681352542495308,0.02584831240621969,0.004976352812907364,0.0008536646611146947,0.0008747281509915132,0.009729788043958076,0.019468798571585788,0.07258610005683196,0.913576713496691,11
2621,0.0002773158713108265,0.01665280370720878,0.004633846631971102,0.0008434822885235033,0.0004655276919579114,0.010087243264803147,0.02034068622851193,0.07149306799497189,0.34136900000000003,19
2621,0.00016551303144452821,0.012865186801773546,0.004195540573768047,0.00084953188943232,0.00013629316826390227,0.009503501340857312,0.017839754641023498,0.06209287902989412,0.17110432678595822,23
2621,0.0003879943917481412,0.01969757324515234,0.004741858755882441,0.0008692134942214769,0.00039233541060458864,0.009552399316793525,0.019695925270084236,0.061956063925670685,0.46811393452674865,31
2621,0.00020991736635272295,0.014488525333957315,0.004646315128826331,0.0008788555172343226,0.0003988371115486339,0.010475668660767934,0.02168784807165669,0.0702704622789563,0.17832899772884697,43
2621,0.00019249307524511677,0.013874187372423538,0.004157209080951066,0.0008483502966016021,0.0010704456492132569,0.010151213257957425,0.018515338354648914,0.05765785123734957,0.24080464266798884,47
2621,0.000330332350994593,0.01817504748259528,0.005070875354969163,0.0008708508246918906,-4.9635439450819574e-05,0.011005709548430775,0.020944851434990974,0.08622345451752436,0.42263751158692076,59
2621,0.0003962040238275866,0.01990487437356957,0.004908462856702849,0.0008361113312496948,0.0003005357095152206,0.009367335341540717,0.019538855244815245,0.0809431992070851,0.4644275827702973,67
2621,0.00014747718679811942,0.012144018560514449,0.004212435315046794,0.0008445036728988997,0.0008535715494123767,0.011115174621226909,0.02007932653837302,0.05633472145503888,0.1358160613283586,71
2621,0.0003106034371774916,0.017623944994736327,0.004969866269953098,0.000866313816380096,0.0006439140235439898,0.010280447477548305,0.021741142560234294,0.08178634349091936,0.3114047096053172,83
2621,0.0002964012714184857,0.017216308298194642,0.004958139363975422,0.0008620114531591172,0.0009893483084000604,0.010683808151603913,0.021839838443088233,0.07494793916264907,0.26670145661076283,97
